Modulo,Tarea,Descripcion,Dependencias,Complejidad,Estimado_horas,Responsable_sugerido,Entregable,Criterio_aceptacion
Integracion,Versionado y deprecaciones,"Definir /api/v1 y plan de retiro endpoints PHP",Contratos OpenAPI,Baja,3,Tech Lead,"Politica de versionado",Roadmap de retiro aprobado
Calidad,Pruebas unitarias backend,"Cobertura services/repos/auth strategy",Backend por modulo,Media,12,Backend,"Suite unitaria",Cobertura objetivo >= 70% (ajustable)
Calidad,Pruebas integracion API+Oracle,"Probar CRUD y queries reales contra Oracle",APIs listas + Oracle,Alta,14,QA/Backend,"Suite integracion",0 fallas criticas
Calidad,Pruebas E2E formularios,"Flujos completos con frontend y backend",Formularios migrados,Alta,16,QA,"Casos E2E automatizados/manuales",Casos criticos en verde
Calidad,Pruebas rendimiento basico,"Smoke de concurrencia para files/tags/login",Integracion estable,Media,8,QA/DevOps,"Reporte rendimiento",Cumple umbral de respuesta acordado
Seguridad,Endurecimiento seguridad API,"Validaciones, sanitizacion, CORS, headers, secretos",APIs listas,Media,8,Backend/SecOps,"Checklist OWASP basico",Sin hallazgos criticos
Despliegue,Pipeline CI/CD,"Build, test, quality gate, deploy a ambiente",Pruebas listas,Media,10,DevOps,"Pipeline configurado",Deploy automatizado exitoso
Despliegue,Estrategia de cutover,"Blue/green o canary para migracion gradual",Pipeline + datos migrados,Alta,8,DevOps/Tech Lead,"Plan de salida a produccion",Cutover sin downtime critico
Despliegue,Monitoreo post-produccion,"Alertas de errores, latencia y autenticacion",Salida a produccion,Media,6,DevOps,"Dashboard y alertas",Monitoreo activo 24-48h sin incidentes graves
Gestion,UAT con usuarios clave,"Validar funcionalidad medica/operativa real",E2E completado,Media,10,PO/QA,"Acta UAT",Aprobacion de negocio
Gestion,Buffer de riesgos y ajustes,"Tiempo para defectos, ajustes de mapeo y datos",Todas las fases,Alta,20,Equipo completo,"Lista de pendientes resueltos",Pendientes criticos en 0
